Fulham 0, Arsenal 3
Crystal Palace 1, Southampton 0
Liverpool 4, Leeds 3
West Ham 0, Newcastle 2
West Brom 0, Leicester 3
Tottenham 0, Everton 1
Brighton 1, Chelsea 3
Sheffield United 0, Wolves 2
Everton 5, West Brom 2
Leeds 4, Fulham 3
Man United 1, Crystal Palace 3
Arsenal 2, West Ham 1
Southampton 2, Tottenham 5
Newcastle 0, Brighton 3
Chelsea 0, Liverpool 2
Leicester 4, Burnley 2
Aston Villa 1, Sheffield United 0
Wolves 1, Man City 3
Brighton 2, Man United 3
Crystal Palace 1, Everton 2
West Brom 3, Chelsea 3
Burnley 0, Southampton 1
Sheffield United 0, Leeds 1
Tottenham 1, Newcastle 1
Man City 2, Leicester 5
West Ham 4, Wolves 0
Fulham 0, Aston Villa 3
Liverpool 3, Arsenal 1
Chelsea 4, Crystal Palace 0
Everton 4, Brighton 2
Leeds 1, Man City 1
Newcastle 3, Burnley 1
Leicester 0, West Ham 3
Southampton 2, West Brom 0
Arsenal 2, Sheffield United 1
Wolves 1, Fulham 0
Man United 1, Tottenham 6
Aston Villa 7, Liverpool 2
Everton 2, Liverpool 2
Chelsea 3, Southampton 3
Man City 1, Arsenal 0
Newcastle 1, Man United 4
Sheffield United 1, Fulham 1
Crystal Palace 1, Brighton 1
Tottenham 3, West Ham 3
Leicester 0, Aston Villa 1
West Brom 0, Burnley 0
Leeds 0, Wolves 1
Aston Villa 0, Leeds 3
West Ham 1, Man City 1
Fulham 1, Crystal Palace 2
Man United 0, Chelsea 0
Liverpool 2, Sheffield United 1
Southampton 2, Everton 0
Wolves 1, Newcastle 1
Arsenal 0, Leicester 1
Brighton 1, West Brom 1
Burnley 0, Tottenham 1
Wolves 2, Crystal Palace 0
Sheffield United 0, Man City 1
Burnley 0, Chelsea 3
Liverpool 2, West Ham 1
Aston Villa 3, Southampton 4
Newcastle 2, Everton 1
Man United 0, Arsenal 1
Tottenham 2, Brighton 1
Fulham 2, West Brom 0
Leeds 1, Leicester 4
Brighton 0, Burnley 0
Southampton 2, Newcastle 0
Everton 1, Man United 3
Crystal Palace 4, Leeds 1
Chelsea 4, Sheffield United 1
West Ham 1, Fulham 0
West Brom 0, Tottenham 1
Leicester 1, Wolves 0
Man City 1, Liverpool 1
Arsenal 0, Aston Villa 3
Newcastle 0, Chelsea 2
Aston Villa 1, Brighton 2
Tottenham 2, Man City 0
Man United 1, West Brom 0
Fulham 2, Everton 3
Sheffield United 0, West Ham 1
Leeds 0, Arsenal 0
Liverpool 3, Leicester 0
Burnley 1, Crystal Palace 0
Wolves 1, Southampton 1
Crystal Palace 0, Newcastle 2
Brighton 1, Liverpool 1
Man City 5, Burnley 0
Everton 0, Leeds 1
West Brom 1, Sheffield United 0
Southampton 2, Man United 3
Chelsea 0, Tottenham 0
Arsenal 1, Wolves 2
Leicester 1, Fulham 2
West Ham 2, Aston Villa 1
Burnley 1, Everton 1
Man City 2, Fulham 0
West Ham 1, Man United 3
Chelsea 3, Leeds 1
West Brom 1, Crystal Palace 5
Sheffield United 1, Leicester 2
Tottenham 2, Arsenal 0
Liverpool 4, Wolves 0
Brighton 1, Southampton 2
Leeds 1, West Ham 2
Wolves 0, Aston Villa 1
Newcastle 2, West Brom 1
Man United 0, Man City 0
Everton 1, Chelsea 0
Southampton 3, Sheffield United 0
Crystal Palace 1, Tottenham 1
Fulham 1, Liverpool 1
Arsenal 0, Burnley 1
Leicester 3, Brighton 0
Wolves 2, Chelsea 1
Man City 1, West Brom 1
Arsenal 1, Southampton 1
Leeds 5, Newcastle 2
Leicester 0, Everton 2
Fulham 0, Brighton 0
Liverpool 2, Tottenham 1
West Ham 1, Crystal Palace 1
Aston Villa 0, Burnley 0
Sheffield United 2, Man United 3
Crystal Palace 0, Liverpool 7
Southampton 0, Man City 1
Everton 2, Arsenal 1
Newcastle 1, Fulham 1
Brighton 1, Sheffield United 1
Tottenham 0, Leicester 2
Man United 6, Leeds 2
West Brom 0, Aston Villa 3
Burnley 2, Wolves 1
Chelsea 3, West Ham 0
Leicester 2, Man United 2
Aston Villa 3, Crystal Palace 0
Fulham 0, Southampton 0
Arsenal 3, Chelsea 1
Man City 2, Newcastle 0
Sheffield United 0, Everton 1
Leeds 1, Burnley 0
West Ham 2, Brighton 2
Liverpool 1, West Brom 1
Wolves 1, Tottenham 1
Crystal Palace 1, Leicester 1
Chelsea 1, Aston Villa 1
Brighton 0, Arsenal 1
Burnley 1, Sheffield United 0
Southampton 0, West Ham 0
West Brom 0, Leeds 5
Man United 1, Wolves 0
Newcastle 0, Liverpool 0
Everton 0, West Ham 1
Man United 2, Aston Villa 1
Tottenham 3, Leeds 0
Crystal Palace 2, Sheffield United 0
Brighton 3, Wolves 3
West Brom 0, Arsenal 4
Newcastle 1, Leicester 2
Chelsea 1, Man City 3
Southampton 1, Liverpool 0
Sheffield United 1, Newcastle 0
Burnley 0, Man United 1
Wolves 1, Everton 2
Man City 1, Brighton 0
Tottenham 1, Fulham 1
Arsenal 0, Crystal Palace 0
Wolves 2, West Brom 3
Leeds 0, Brighton 1
West Ham 1, Burnley 0
Fulham 0, Chelsea 1
Leicester 2, Southampton 0
Sheffield United 1, Tottenham 3
Liverpool 0, Man United 0
Man City 4, Crystal Palace 0
Arsenal 3, Newcastle 0
West Ham 2, West Brom 1
Leicester 2, Chelsea 0
Man City 2, Aston Villa 0
Fulham 1, Man United 2
Liverpool 0, Burnley 1
Aston Villa 2, Newcastle 0
Crystal Palace 2, West Ham 3
Newcastle 1, Leeds 2
Southampton 1, Arsenal 3
West Brom 0, Man City 5
Burnley 3, Aston Villa 2
Chelsea 0, Wolves 0
Brighton 0, Fulham 0
Everton 1, Leicester 1
Man United 1, Sheffield United 2
Tottenham 1, Liverpool 3
Everton 0, Newcastle 2
Crystal Palace 1, Wolves 0
Man City 1, Sheffield United 0
West Brom 2, Fulham 2
Arsenal 0, Man United 0
Southampton 0, Aston Villa 1
Chelsea 2, Burnley 0
Leicester 1, Leeds 3
West Ham 1, Liverpool 3
Brighton 1, Tottenham 0
Sheffield United 2, West Brom 1
Wolves 2, Arsenal 1
Man United 9, Southampton 0
Newcastle 1, Crystal Palace 2
Burnley 0, Man City 2
Fulham 0, Leicester 2
Leeds 1, Everton 2
Aston Villa 1, West Ham 3
Liverpool 0, Brighton 1
Tottenham 0, Chelsea 1
Aston Villa 1, Arsenal 0
Burnley 1, Brighton 1
Newcastle 3, Southampton 2
Fulham 0, West Ham 0
Man United 3, Everton 3
Tottenham 2, West Brom 0
Wolves 0, Leicester 0
Liverpool 1, Man City 4
Sheffield United 1, Chelsea 2
Leeds 2, Crystal Palace 0
Leicester 3, Liverpool 1
Crystal Palace 0, Burnley 3
Man City 3, Tottenham 0
Brighton 0, Aston Villa 0
Southampton 1, Wolves 2
West Brom 1, Man United 1
Arsenal 4, Leeds 2
Everton 0, Fulham 2
West Ham 3, Sheffield United 0
Chelsea 2, Newcastle 0
Burnley 1, Fulham 1
Everton 1, Man City 3
Wolves 1, Leeds 0
Southampton 1, Chelsea 1
Burnley 0, West Brom 0
Liverpool 0, Everton 2
Fulham 1, Sheffield United 0
West Ham 2, Tottenham 1
Aston Villa 1, Leicester 2
Arsenal 0, Man City 1
Man United 3, Newcastle 1
Brighton 1, Crystal Palace 2
Leeds 3, Southampton 0
Man City 2, West Ham 1
West Brom 1, Brighton 0
Leeds 0, Aston Villa 1
Newcastle 1, Wolves 1
Crystal Palace 0, Fulham 0
Leicester 1, Arsenal 3
Tottenham 4, Burnley 0
Chelsea 0, Man United 0
Sheffield United 0, Liverpool 2
Everton 1, Southampton 0
Man City 4, Wolves 1
Burnley 1, Leicester 1
Sheffield United 1, Aston Villa 0
Crystal Palace 0, Man United 0
Fulham 0, Tottenham 1
West Brom 0, Everton 1
Liverpool 0, Chelsea 1
Burnley 1, Arsenal 1
Sheffield United 0, Southampton 2
Aston Villa 0, Wolves 0
Brighton 1, Leicester 2
West Brom 0, Newcastle 0
Liverpool 0, Fulham 1
Man City 0, Man United 2
Tottenham 4, Crystal Palace 1
Chelsea 2, Everton 0
West Ham 2, Leeds 0
Man City 5, Southampton 2
Newcastle 1, Aston Villa 1
Leeds 0, Chelsea 0
Crystal Palace 1, West Brom 0
Everton 1, Burnley 2
Fulham 0, Man City 3
Southampton 1, Brighton 2
Leicester 5, Sheffield United 0
Arsenal 2, Tottenham 1
Man United 1, West Ham 0
Wolves 0, Liverpool 1
Fulham 1, Leeds 2
Brighton 3, Newcastle 0
West Ham 3, Arsenal 3
